task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
187	5b/6371df	4610328.pbsha.ib.sockeye	benchmark (185)	COMPLETED	0	2023-02-07 21:15:55.372	7m 55s	7m 35s	103.1%	2 GB	6.8 GB	3.7 GB	3.1 GB
196	37/9e0197	4610341.pbsha.ib.sockeye	benchmark (194)	COMPLETED	0	2023-02-07 21:16:31.494	7m 19s	6m 57s	103.4%	2 GB	6.8 GB	3.7 GB	3.1 GB
240	17/f213a7	4610384.pbsha.ib.sockeye	benchmark (238)	COMPLETED	0	2023-02-07 21:18:11.072	5m 39s	5m 23s	104.8%	1.6 GB	5.1 GB	3 GB	3.1 GB
203	0c/baa6d0	4610351.pbsha.ib.sockeye	benchmark (201)	COMPLETED	0	2023-02-07 21:16:55.356	7m 1s	6m 33s	102.8%	2 GB	6.7 GB	3.7 GB	3.1 GB
207	fc/463b5a	4610357.pbsha.ib.sockeye	benchmark (205)	FAILED	1	2023-02-07 21:17:00.264	6m 56s	6m 32s	104.1%	2 GB	6.8 GB	3.4 GB	3.1 GB
303	88/5b3ddc	4610457.pbsha.ib.sockeye	benchmark (301)	FAILED	1	2023-02-07 21:20:35.285	3m 21s	2m 38s	100.5%	1.1 GB	3.2 GB	2 GB	3 GB
281	d1/e966bd	4610437.pbsha.ib.sockeye	benchmark (279)	FAILED	1	2023-02-07 21:19:50.541	4m 11s	3m 39s	107.3%	1.6 GB	5.1 GB	2.9 GB	3.1 GB
202	9a/6aca65	4610346.pbsha.ib.sockeye	benchmark (200)	COMPLETED	0	2023-02-07 21:16:52.222	7m 13s	6m 59s	108.4%	2 GB	6.8 GB	3.7 GB	3.1 GB
280	55/8b1441	4610434.pbsha.ib.sockeye	benchmark (278)	FAILED	1	2023-02-07 21:19:50.278	4m 15s	3m 50s	103.8%	1.6 GB	5.2 GB	2.7 GB	3.1 GB
185	2f/e4ae1d	4610325.pbsha.ib.sockeye	benchmark (183)	COMPLETED	0	2023-02-07 21:15:45.286	8m 26s	8m 4s	97.5%	1.7 GB	5.7 GB	3 GB	3.1 GB
199	79/d21dd3	4610344.pbsha.ib.sockeye	benchmark (197)	COMPLETED	0	2023-02-07 21:16:46.293	7m 29s	6m 56s	101.3%	2 GB	6.8 GB	3 GB	3.1 GB
283	a5/59e73c	4610435.pbsha.ib.sockeye	benchmark (281)	FAILED	1	2023-02-07 21:19:50.373	4m 25s	4m 5s	104.3%	1.7 GB	5.6 GB	2.9 GB	3.1 GB
172	d0/082c84	4610307.pbsha.ib.sockeye	benchmark (170)	COMPLETED	0	2023-02-07 21:15:11.081	9m 9s	8m 42s	104.6%	2 GB	6.8 GB	3.7 GB	3.1 GB
217	49/979fc4	4610367.pbsha.ib.sockeye	benchmark (215)	COMPLETED	0	2023-02-07 21:17:30.333	6m 50s	6m 34s	104.6%	1.9 GB	6.2 GB	3.7 GB	3.1 GB
262	6f/0f50d1	4610413.pbsha.ib.sockeye	benchmark (260)	FAILED	1	2023-02-07 21:18:55.671	5m 25s	4m 48s	102.6%	2 GB	6.8 GB	2.9 GB	3.1 GB
351	ce/472ef9	4610518.pbsha.ib.sockeye	benchmark (349)	FAILED	1	2023-02-07 21:23:35.387	44.8s	28.6s	104.1%	6.6 MB	233.2 MB	1.8 GB	2.9 GB
355	fb/9115b5	4610519.pbsha.ib.sockeye	benchmark (353)	FAILED	1	2023-02-07 21:23:36.167	49.2s	29.1s	95.2%	6.6 MB	233.2 MB	1.8 GB	3.1 GB
258	4c/901260	4610412.pbsha.ib.sockeye	benchmark (256)	COMPLETED	0	2023-02-07 21:18:50.509	5m 40s	5m 17s	102.2%	1.6 GB	5.1 GB	3 GB	3.1 GB
343	ba/9e1563	4610503.pbsha.ib.sockeye	benchmark (341)	FAILED	1	2023-02-07 21:22:50.299	1m 40s	1m 1s	90.1%	6.7 MB	233.2 MB	1.8 GB	3 GB
306	2c/b38e95	4610459.pbsha.ib.sockeye	benchmark (304)	FAILED	1	2023-02-07 21:20:40.391	4m 15s	3m 52s	102.3%	1.6 GB	5.1 GB	2.9 GB	3.1 GB
363	9d/45f59a	4610530.pbsha.ib.sockeye	benchmark (361)	FAILED	1	2023-02-07 21:23:57.406	1m 3s	32.4s	104.6%	6.6 MB	233.2 MB	1.7 GB	2.5 GB
291	97/213ce7	4610448.pbsha.ib.sockeye	benchmark (289)	FAILED	1	2023-02-07 21:20:15.836	4m 49s	4m 22s	99.2%	2 GB	6.8 GB	2.9 GB	3.1 GB
345	50/fef6c6	4610516.pbsha.ib.sockeye	benchmark (343)	FAILED	1	2023-02-07 21:23:30.567	1m 35s	52.7s	99.6%	6.7 MB	233.2 MB	1.8 GB	3 GB
369	2f/cf1d5d	4610537.pbsha.ib.sockeye	benchmark (367)	FAILED	1	2023-02-07 21:24:16.368	48.9s	27.6s	99.5%	6.7 MB	233.2 MB	1.8 GB	3 GB
371	ea/c195c6	4610539.pbsha.ib.sockeye	benchmark (369)	FAILED	1	2023-02-07 21:24:20.317	44.9s	26.4s	96.6%	211.5 MB	681.4 MB	1.8 GB	3 GB
225	02/13bd57	4610382.pbsha.ib.sockeye	benchmark (223)	COMPLETED	0	2023-02-07 21:18:05.293	7m 6s	6m 39s	102.5%	1.8 GB	6.2 GB	3.7 GB	3.1 GB
241	99/756a47	4610386.pbsha.ib.sockeye	benchmark (239)	COMPLETED	0	2023-02-07 21:18:11.274	7m	6m 42s	106.9%	1.9 GB	6.3 GB	3.7 GB	3.1 GB
274	74/935df0	4610428.pbsha.ib.sockeye	benchmark (272)	FAILED	1	2023-02-07 21:19:46.243	5m 25s	4m 46s	103.5%	2.1 GB	7.3 GB	2.9 GB	3.1 GB
302	57/1a86d4	4610461.pbsha.ib.sockeye	benchmark (300)	FAILED	1	2023-02-07 21:20:45.313	4m 26s	4m 5s	110.9%	1.9 GB	6.3 GB	2.9 GB	3.1 GB
344	19/9e1347	4610523.pbsha.ib.sockeye	benchmark (342)	FAILED	1	2023-02-07 21:23:40.475	1m 31s	55s	79.3%	6.7 MB	233.2 MB	1.8 GB	3 GB
230	cc/63360e	4610380.pbsha.ib.sockeye	benchmark (228)	FAILED	1	2023-02-07 21:18:00.496	7m 15s	6m 50s	101.7%	1.8 GB	5.1 GB	3.7 GB	3.1 GB
270	34/efc2fa	4610424.pbsha.ib.sockeye	benchmark (268)	COMPLETED	0	2023-02-07 21:19:35.961	5m 39s	5m 15s	103.9%	1.8 GB	6.2 GB	3 GB	3.1 GB
340	e4/f17043	4610499.pbsha.ib.sockeye	benchmark (338)	FAILED	1	2023-02-07 21:22:40.303	2m 35s	1m 52s	101.8%	931.8 MB	3 GB	2 GB	3 GB
194	8d/8b5d47	4610340.pbsha.ib.sockeye	benchmark (192)	COMPLETED	0	2023-02-07 21:16:25.534	8m 55s	8m 28s	99.8%	1.7 GB	5.7 GB	3.7 GB	3.1 GB
347	94/40afdc	4610521.pbsha.ib.sockeye	benchmark (345)	FAILED	1	2023-02-07 21:23:40.304	1m 40s	58.9s	95.3%	277.1 MB	979.1 MB	1.8 GB	3 GB
232	6d/cc2669	4610379.pbsha.ib.sockeye	benchmark (230)	COMPLETED	0	2023-02-07 21:18:00.401	7m 25s	7m	101.9%	1.6 GB	5.1 GB	3.7 GB	3.1 GB
284	ed/78f40c	4610440.pbsha.ib.sockeye	benchmark (282)	COMPLETED	0	2023-02-07 21:20:00.530	5m 25s	5m 2s	106.7%	1.9 GB	6.3 GB	3 GB	3.1 GB
298	71/67d559	4610469.pbsha.ib.sockeye	benchmark (296)	FAILED	1	2023-02-07 21:21:11.043	4m 14s	3m 55s	104.0%	2.3 GB	7.8 GB	2.9 GB	3.1 GB
247	9e/534bf5	4610398.pbsha.ib.sockeye	benchmark (245)	COMPLETED	0	2023-02-07 21:18:30.624	7m	6m 34s	109.7%	1.9 GB	5.2 GB	3.7 GB	3.1 GB
361	b9/2fcd86	4610527.pbsha.ib.sockeye	benchmark (359)	FAILED	1	2023-02-07 21:23:50.483	1m 40s	1m 23s	107.1%	966.6 MB	2.6 GB	2 GB	3 GB
294	9f/d2e681	4610449.pbsha.ib.sockeye	benchmark (292)	FAILED	1	2023-02-07 21:20:20.306	5m 15s	4m 55s	96.8%	1.7 GB	5.6 GB	2.9 GB	3.1 GB
233	8b/a26319	4610381.pbsha.ib.sockeye	benchmark (231)	COMPLETED	0	2023-02-07 21:18:00.600	7m 40s	7m 11s	101.5%	1.8 GB	5.2 GB	3.7 GB	3.1 GB
236	32/97fba2	4610395.pbsha.ib.sockeye	benchmark (234)	COMPLETED	0	2023-02-07 21:18:30.319	7m 10s	6m 48s	106.9%	1.7 GB	5.1 GB	3.7 GB	3.1 GB
256	53/05e469	4610405.pbsha.ib.sockeye	benchmark (254)	FAILED	1	2023-02-07 21:18:45.543	6m 56s	6m 35s	99.4%	2 GB	6.8 GB	3.7 GB	3.1 GB
376	5e/7beb28	4610550.pbsha.ib.sockeye	benchmark (374)	FAILED	1	2023-02-07 21:24:55.311	45.8s	24.7s	103.4%	259.4 MB	916.2 MB	1.8 GB	3 GB
237	a6/1f8772	4610389.pbsha.ib.sockeye	benchmark (235)	COMPLETED	0	2023-02-07 21:18:20.261	7m 30s	6m 49s	101.0%	2.2 GB	7.3 GB	3 GB	3.1 GB
248	2d/ce5d3a	4610397.pbsha.ib.sockeye	benchmark (246)	COMPLETED	0	2023-02-07 21:18:30.545	7m 20s	6m 45s	104.0%	1.8 GB	5.1 GB	3.7 GB	3.1 GB
254	bd/88a3d9	4610404.pbsha.ib.sockeye	benchmark (252)	FAILED	1	2023-02-07 21:18:45.446	7m 10s	6m 43s	100.3%	1.9 GB	5.7 GB	3.4 GB	3.1 GB
380	31/18b1c5	4610553.pbsha.ib.sockeye	benchmark (378)	FAILED	1	2023-02-07 21:25:05.521	49.7s	29s	104.4%	6.6 MB	233.2 MB	1.8 GB	2.9 GB
242	08/8ea52d	4610387.pbsha.ib.sockeye	benchmark (240)	COMPLETED	0	2023-02-07 21:18:15.323	7m 45s	7m 19s	102.9%	1.8 GB	6.2 GB	3.7 GB	3.1 GB
251	53/80a8f0	4610400.pbsha.ib.sockeye	benchmark (249)	COMPLETED	0	2023-02-07 21:18:41.029	7m 19s	6m 51s	102.2%	1.6 GB	5.2 GB	3.7 GB	3.1 GB
352	69/e9a339	4610512.pbsha.ib.sockeye	benchmark (350)	FAILED	1	2023-02-07 21:23:25.312	2m 35s	2m	71.2%	1004.6 MB	3.5 GB	2 GB	3 GB
257	14/ca77f0	4610408.pbsha.ib.sockeye	benchmark (255)	COMPLETED	0	2023-02-07 21:18:45.778	7m 19s	6m 50s	105.3%	1.9 GB	5.7 GB	3.7 GB	3.1 GB
245	fd/88d675	4610410.pbsha.ib.sockeye	benchmark (243)	COMPLETED	0	2023-02-07 21:18:50.343	7m 15s	6m 57s	103.5%	1.7 GB	5.7 GB	3.7 GB	3.1 GB
324	3a/b79005	4610477.pbsha.ib.sockeye	benchmark (322)	FAILED	1	2023-02-07 21:21:30.423	4m 35s	4m 13s	102.6%	1.9 GB	6.3 GB	2.9 GB	3.1 GB
377	50/04cf80	4610557.pbsha.ib.sockeye	benchmark (375)	FAILED	1	2023-02-07 21:25:11.111	54.1s	37.1s	102.0%	6.7 MB	233.2 MB	1.8 GB	3.1 GB
296	0a/a9ae0e	4610452.pbsha.ib.sockeye	benchmark (294)	FAILED	1	2023-02-07 21:20:25.358	5m 50s	5m 14s	101.3%	1.9 GB	6.2 GB	2.9 GB	3.1 GB
394	99/75673c	4610563.pbsha.ib.sockeye	benchmark (392)	FAILED	1	2023-02-07 21:25:15.465	59.8s	33.9s	87.1%	211 MB	681.4 MB	1.8 GB	3 GB
388	59/df2b55	4610569.pbsha.ib.sockeye	benchmark (386)	FAILED	1	2023-02-07 21:25:25.503	49.7s	24.3s	104.4%	6.6 MB	233.2 MB	1.8 GB	2.8 GB
252	23/6ce49c	4610402.pbsha.ib.sockeye	benchmark (250)	FAILED	1	2023-02-07 21:18:45.286	7m 35s	6m 51s	107.0%	1.9 GB	6.2 GB	2.9 GB	3.1 GB
359	22/e49d67	4610528.pbsha.ib.sockeye	benchmark (357)	FAILED	1	2023-02-07 21:23:56.014	2m 24s	1m 49s	84.0%	983 MB	2.9 GB	2 GB	3 GB
183	66/bc5422	4610322.pbsha.ib.sockeye	benchmark (181)	FAILED	143	2023-02-07 21:15:40.392	10m 45s	10m 30s	113.0%	1.9 GB	5.7 GB	3.4 GB	3.1 GB
184	30/5c83c4	4610324.pbsha.ib.sockeye	benchmark (182)	FAILED	143	2023-02-07 21:15:40.574	10m 45s	10m 30s	96.2%	1.7 GB	5.2 GB	3.4 GB	3.1 GB
246	3f/b46338	4610403.pbsha.ib.sockeye	benchmark (244)	COMPLETED	0	2023-02-07 21:18:45.360	7m 40s	7m 21s	102.3%	2 GB	6.8 GB	3.7 GB	3.1 GB
350	0a/56961b	4610515.pbsha.ib.sockeye	benchmark (348)	FAILED	1	2023-02-07 21:23:30.390	2m 55s	2m 13s	87.3%	1 GB	3.1 GB	2 GB	3 GB
356	20/7b20de	4610524.pbsha.ib.sockeye	benchmark (354)	FAILED	1	2023-02-07 21:23:40.556	2m 50s	2m 12s	88.3%	918.3 MB	2.9 GB	2 GB	3 GB
398	9b/b151fe	4610570.pbsha.ib.sockeye	benchmark (396)	FAILED	1	2023-02-07 21:25:31.468	58.8s	34.7s	102.4%	6.7 MB	233.2 MB	1.8 GB	3 GB
292	c8/189e05	4610447.pbsha.ib.sockeye	benchmark (290)	FAILED	1	2023-02-07 21:20:11.235	6m 29s	6m 12s	120.2%	2.1 GB	7.3 GB	2.9 GB	3.1 GB
192	60/ff89e6	4610335.pbsha.ib.sockeye	benchmark (190)	COMPLETED	0	2023-02-07 21:16:20.324	10m 25s	9m 46s	107.2%	2 GB	6.8 GB	3.7 GB	3.1 GB
383	c8/f06fce	4610554.pbsha.ib.sockeye	benchmark (381)	FAILED	1	2023-02-07 21:25:05.608	1m 40s	1m 15s	103.4%	848.4 MB	2.9 GB	2 GB	3 GB
238	2e/13bf36	4610394.pbsha.ib.sockeye	benchmark (236)	COMPLETED	0	2023-02-07 21:18:25.272	8m 25s	8m 8s	101.8%	1.6 GB	5.2 GB	3.7 GB	3.1 GB
323	6a/de226c	4610495.pbsha.ib.sockeye	benchmark (321)	FAILED	1	2023-02-07 21:22:20.517	4m 35s	4m 12s	98.4%	1.8 GB	6.2 GB	2.9 GB	3.1 GB
312	b3/98e391	4610475.pbsha.ib.sockeye	benchmark (310)	FAILED	1	2023-02-07 21:21:30.270	5m 30s	5m	98.0%	1.6 GB	5.2 GB	2.9 GB	3.1 GB
320	44/186a92	4610476.pbsha.ib.sockeye	benchmark (318)	COMPLETED	0	2023-02-07 21:21:30.346	5m 30s	5m 11s	111.8%	2 GB	6.7 GB	3 GB	3.1 GB
333	38/202c94	4610498.pbsha.ib.sockeye	benchmark (331)	FAILED	1	2023-02-07 21:22:35.279	4m 25s	4m 1s	103.9%	1.6 GB	5.1 GB	2.9 GB	3.1 GB
366	51/ef6d47	4610534.pbsha.ib.sockeye	benchmark (364)	FAILED	1	2023-02-07 21:24:05.328	2m 55s	2m 13s	101.0%	1.2 GB	4.5 GB	2 GB	3 GB
381	12/b9fe71	4610556.pbsha.ib.sockeye	benchmark (379)	FAILED	1	2023-02-07 21:25:11.032	1m 49s	1m 28s	112.5%	945.9 MB	3 GB	2 GB	3 GB
223	9e/efd84a	4610373.pbsha.ib.sockeye	benchmark (221)	COMPLETED	0	2023-02-07 21:17:45.473	9m 20s	8m 29s	110.0%	1.9 GB	6.3 GB	3 GB	3.1 GB
386	a3/e48341	4610560.pbsha.ib.sockeye	benchmark (384)	FAILED	1	2023-02-07 21:25:11.382	1m 54s	1m 39s	100.8%	1.1 GB	3.5 GB	2 GB	3 GB
403	56/b6aa19	4610579.pbsha.ib.sockeye	benchmark (401)	FAILED	1	2023-02-07 21:25:55.399	1m 10s	34s	107.9%	6.6 MB	233.2 MB	1.8 GB	2.9 GB
375	8e/496626	4610542.pbsha.ib.sockeye	benchmark (373)	COMPLETED	0	2023-02-07 21:24:20.597	2m 50s	2m 28s	98.6%	1 GB	3.7 GB	2.2 GB	3 GB
419	f1/059ebc	4610597.pbsha.ib.sockeye	benchmark (417)	FAILED	1	2023-02-07 21:26:26.483	44.5s	25.3s	92.6%	258.3 MB	914.7 MB	1.8 GB	3 GB
297	7d/374362	4610462.pbsha.ib.sockeye	benchmark (295)	FAILED	1	2023-02-07 21:20:45.432	6m 35s	6m 13s	103.2%	1.9 GB	5.7 GB	3.4 GB	3.1 GB
339	5a/02db6b	4610509.pbsha.ib.sockeye	benchmark (337)	FAILED	1	2023-02-07 21:23:05.537	4m 15s	3m 45s	105.9%	1.6 GB	5.2 GB	2.7 GB	3.1 GB
285	1a/df43fd	4610441.pbsha.ib.sockeye	benchmark (283)	FAILED	1	2023-02-07 21:20:01.080	7m 24s	6m 55s	116.5%	2.1 GB	7.3 GB	2.8 GB	3.1 GB
335	4c/25caf8	4610510.pbsha.ib.sockeye	benchmark (333)	FAILED	1	2023-02-07 21:23:15.336	4m 15s	3m 54s	105.5%	1.7 GB	5.6 GB	2.9 GB	3.1 GB
423	5d/7671d0	4610606.pbsha.ib.sockeye	benchmark (421)	FAILED	1	2023-02-07 21:26:55.767	39.5s	23.4s	104.0%	6.6 MB	233.2 MB	1.8 GB	2.8 GB
354	99/902336	4610517.pbsha.ib.sockeye	benchmark (352)	FAILED	1	2023-02-07 21:23:30.650	4m 10s	3m 46s	101.0%	2 GB	6.7 GB	2.9 GB	3.1 GB
399	3c/314e4f	4610576.pbsha.ib.sockeye	benchmark (397)	FAILED	1	2023-02-07 21:25:41.286	1m 59s	1m 35s	100.1%	901.1 MB	3 GB	2 GB	3 GB
309	c1/a9cf65	4610465.pbsha.ib.sockeye	benchmark (307)	COMPLETED	0	2023-02-07 21:20:55.279	6m 50s	6m 30s	111.1%	1.9 GB	6.2 GB	3.7 GB	3.1 GB
397	a1/429d99	4610573.pbsha.ib.sockeye	benchmark (395)	FAILED	1	2023-02-07 21:25:40.296	2m 5s	1m 37s	90.4%	1.2 GB	4.1 GB	2.1 GB	3 GB
411	98/441997	4610583.pbsha.ib.sockeye	benchmark (409)	FAILED	1	2023-02-07 21:26:00.646	1m 45s	1m 26s	105.3%	1008.9 MB	2.9 GB	2 GB	3 GB
229	d2/cb92f6	4610378.pbsha.ib.sockeye	benchmark (227)	COMPLETED	0	2023-02-07 21:18:00.305	10m	9m 15s	101.4%	2 GB	6.3 GB	3.7 GB	3.1 GB
307	6a/30f04c	4610467.pbsha.ib.sockeye	benchmark (305)	COMPLETED	0	2023-02-07 21:21:00.288	7m	6m 47s	105.2%	1.9 GB	5.1 GB	3.7 GB	3.1 GB
332	7a/a4578f	4610496.pbsha.ib.sockeye	benchmark (330)	FAILED	1	2023-02-07 21:22:25.290	5m 35s	5m 19s	95.5%	2 GB	6.8 GB	2.8 GB	3.1 GB
382	3d/6cc1cb	4610555.pbsha.ib.sockeye	benchmark (380)	FAILED	1	2023-02-07 21:25:05.718	3m 5s	2m 22s	98.9%	827.4 MB	2.9 GB	2.1 GB	3 GB
396	c8/20da6f	4610567.pbsha.ib.sockeye	benchmark (394)	FAILED	1	2023-02-07 21:25:25.304	2m 46s	2m 14s	102.4%	1.1 GB	3.5 GB	2 GB	3 GB
407	00/fb7825	4610587.pbsha.ib.sockeye	benchmark (406)	FAILED	1	2023-02-07 21:26:12.173	1m 59s	1m 13s	118.3%	265.4 MB	979.4 MB	1.8 GB	3 GB
444	e4/ec0d68	4610616.pbsha.ib.sockeye	benchmark (442)	FAILED	1	2023-02-07 21:27:05.594	1m 5s	28.1s	96.6%	194.9 MB	677.3 MB	1.8 GB	3.1 GB
433	e6/45abc3	4610607.pbsha.ib.sockeye	benchmark (431)	FAILED	1	2023-02-07 21:27:00.317	1m 20s	47.3s	96.9%	211.2 MB	680.6 MB	1.8 GB	3 GB
406	b6/97f1c6	4610582.pbsha.ib.sockeye	benchmark (404)	FAILED	1	2023-02-07 21:26:00.444	2m 25s	1m 46s	93.0%	994.4 MB	2.9 GB	2 GB	3 GB
426	22/091234	4610605.pbsha.ib.sockeye	benchmark (424)	FAILED	1	2023-02-07 21:26:50.341	1m 40s	58.7s	94.2%	211.5 MB	681.4 MB	1.8 GB	3.1 GB
442	29/7d09d8	4610625.pbsha.ib.sockeye	benchmark (440)	FAILED	1	2023-02-07 21:27:40.358	49.9s	30.5s	105.2%	6.6 MB	233.2 MB	1.8 GB	2.8 GB
328	c5/cee863	4610492.pbsha.ib.sockeye	benchmark (326)	FAILED	1	2023-02-07 21:22:15.298	6m 20s	5m 47s	101.6%	1.9 GB	6.2 GB	2.9 GB	3.1 GB
410	91/46856a	4610586.pbsha.ib.sockeye	benchmark (408)	FAILED	1	2023-02-07 21:26:12.086	2m 23s	1m 43s	99.4%	252.1 MB	916.2 MB	1.8 GB	3 GB
316	76/31744f	4610480.pbsha.ib.sockeye	benchmark (314)	COMPLETED	0	2023-02-07 21:21:35.278	7m 5s	6m 52s	104.0%	2 GB	6.8 GB	3.7 GB	3.1 GB
425	3f/a48506	4610603.pbsha.ib.sockeye	benchmark (423)	FAILED	1	2023-02-07 21:26:45.375	2m	1m 40s	103.7%	1.1 GB	3.5 GB	2 GB	3 GB
405	19/ffa306	4610580.pbsha.ib.sockeye	benchmark (403)	FAILED	1	2023-02-07 21:25:55.569	2m 55s	2m 15s	104.5%	1.2 GB	4.1 GB	2 GB	3 GB
353	9e/afd309	4610513.pbsha.ib.sockeye	benchmark (351)	COMPLETED	0	2023-02-07 21:23:25.398	5m 30s	5m 9s	106.8%	1.7 GB	5.6 GB	3 GB	3.1 GB
259	cd/f43558	4610414.pbsha.ib.sockeye	benchmark (257)	COMPLETED	0	2023-02-07 21:18:55.756	10m 4s	9m 26s	98.1%	2 GB	6.8 GB	3.7 GB	3.1 GB
337	f0/a8b214	4610507.pbsha.ib.sockeye	benchmark (335)	COMPLETED	0	2023-02-07 21:23:05.396	5m 55s	5m 22s	97.3%	2 GB	6.8 GB	3 GB	3.1 GB
249	97/c5800a	4610396.pbsha.ib.sockeye	benchmark (247)	COMPLETED	0	2023-02-07 21:18:30.469	10m 35s	9m 55s	99.3%	2 GB	6.7 GB	3.7 GB	3.1 GB
305	0d/99c5e5	4610463.pbsha.ib.sockeye	benchmark (303)	COMPLETED	0	2023-02-07 21:20:45.513	8m 20s	8m	102.4%	1.8 GB	5.2 GB	3.7 GB	3.1 GB
439	9e/36f2c9	4610610.pbsha.ib.sockeye	benchmark (437)	FAILED	1	2023-02-07 21:27:00.544	2m 10s	1m 42s	82.2%	1007.3 MB	3.4 GB	2 GB	3 GB
428	7e/c8751a	4610617.pbsha.ib.sockeye	benchmark (426)	FAILED	1	2023-02-07 21:27:13.453	1m 58s	1m 35s	102.3%	1 GB	2.9 GB	2 GB	3 GB
348	42/80dec6	4610511.pbsha.ib.sockeye	benchmark (346)	FAILED	1	2023-02-07 21:23:20.328	5m 55s	5m 17s	118.1%	2.2 GB	7.3 GB	2.9 GB	3.1 GB
275	07/ce83d3	4610430.pbsha.ib.sockeye	benchmark (273)	COMPLETED	0	2023-02-07 21:19:46.477	9m 34s	8m 58s	97.5%	1.8 GB	6.2 GB	3.7 GB	3.1 GB
330	93/1d8639	4610486.pbsha.ib.sockeye	benchmark (328)	FAILED	1	2023-02-07 21:21:55.307	7m 25s	6m 42s	109.5%	1.8 GB	6.2 GB	2.8 GB	3.1 GB
326	46/3021d7	4610487.pbsha.ib.sockeye	benchmark (324)	COMPLETED	0	2023-02-07 21:22:00.314	7m 20s	6m 49s	107.5%	1.7 GB	5.6 GB	3.7 GB	3.1 GB
421	68/202c4b	4610596.pbsha.ib.sockeye	benchmark (419)	COMPLETED	0	2023-02-07 21:26:26.374	2m 54s	2m 41s	105.8%	1 GB	3.2 GB	2.2 GB	3 GB
334	11/ea058c	4610500.pbsha.ib.sockeye	benchmark (332)	FAILED	1	2023-02-07 21:22:40.384	6m 50s	6m 23s	104.9%	1.8 GB	5.7 GB	3.4 GB	3.1 GB
341	56/7e0c24	4610504.pbsha.ib.sockeye	benchmark (339)	FAILED	1	2023-02-07 21:22:50.383	6m 40s	5m 57s	105.6%	1.6 GB	5.6 GB	2.9 GB	3.1 GB
346	27/6e72e9	4610522.pbsha.ib.sockeye	benchmark (344)	FAILED	1	2023-02-07 21:23:40.391	5m 55s	5m 6s	105.9%	1.9 GB	6.2 GB	2.7 GB	3.1 GB
372	60/061316	4610551.pbsha.ib.sockeye	benchmark (370)	FAILED	1	2023-02-07 21:25:00.303	4m 35s	4m 19s	103.0%	2 GB	6.8 GB	2.9 GB	3.1 GB
409	0a/104453	4610581.pbsha.ib.sockeye	benchmark (407)	COMPLETED	0	2023-02-07 21:26:00.346	3m 35s	3m 1s	97.4%	1.2 GB	3.7 GB	2.2 GB	3 GB
461	c7/2493d3	4610646.pbsha.ib.sockeye	benchmark (459)	FAILED	1	2023-02-07 21:28:38.054	57.4s	26.9s	98.7%	6.6 MB	233.2 MB	1.8 GB	3 GB
387	ef/4f4f06	4610561.pbsha.ib.sockeye	benchmark (385)	FAILED	1	2023-02-07 21:25:15.309	4m 25s	3m 58s	98.3%	1.5 GB	5.1 GB	2.9 GB	3.1 GB
390	a7/88f628	4610571.pbsha.ib.sockeye	benchmark (388)	FAILED	1	2023-02-07 21:25:31.577	4m 9s	3m 45s	100.9%	2 GB	6.7 GB	2.7 GB	3.1 GB
431	4e/75091a	4610608.pbsha.ib.sockeye	benchmark (429)	COMPLETED	0	2023-02-07 21:27:00.393	2m 40s	2m 23s	104.8%	1 GB	3.2 GB	2.2 GB	3 GB
304	15/88fe23	4610460.pbsha.ib.sockeye	benchmark (302)	COMPLETED	0	2023-02-07 21:20:40.465	9m 5s	8m 17s	104.0%	2 GB	6.8 GB	3 GB	3.1 GB
455	ba/93971f	4610638.pbsha.ib.sockeye	benchmark (453)	FAILED	1	2023-02-07 21:28:13.561	1m 37s	54.8s	91.9%	188.5 MB	677.4 MB	1.8 GB	3.1 GB
416	8e/327495	4610588.pbsha.ib.sockeye	benchmark (414)	FAILED	1	2023-02-07 21:26:12.259	3m 43s	3m 5s	96.3%	899 MB	2.9 GB	2 GB	3 GB
466	a3/8f129a	4610649.pbsha.ib.sockeye	benchmark (464)	FAILED	1	2023-02-07 21:28:45.378	1m 10s	43s	142.1%	163.9 MB	672.9 MB	1.8 GB	3 GB
325	b9/56a431	4610489.pbsha.ib.sockeye	benchmark (323)	FAILED	1	2023-02-07 21:22:06.285	7m 54s	7m 15s	109.1%	1.8 GB	6.3 GB	2.9 GB	3.1 GB
401	a9/db2d27	4610574.pbsha.ib.sockeye	benchmark (399)	FAILED	1	2023-02-07 21:25:40.369	4m 20s	3m 53s	105.1%	1.6 GB	5.1 GB	2.7 GB	3.1 GB
458	5b/b207e0	4610643.pbsha.ib.sockeye	benchmark (456)	FAILED	1	2023-02-07 21:28:30.392	1m 30s	44.7s	139.7%	260 MB	949 MB	1.8 GB	3 GB
358	2f/826b5f	4610525.pbsha.ib.sockeye	benchmark (356)	FAILED	1	2023-02-07 21:23:50.297	6m 15s	5m 58s	106.6%	2 GB	6.7 GB	3.4 GB	3.1 GB
378	ba/41e6fc	4610548.pbsha.ib.sockeye	benchmark (376)	COMPLETED	0	2023-02-07 21:24:31.715	5m 34s	5m 13s	102.3%	1.6 GB	5.2 GB	3 GB	3.1 GB
389	cd/d33469	4610572.pbsha.ib.sockeye	benchmark (387)	FAILED	1	2023-02-07 21:25:35.731	4m 30s	4m 12s	97.2%	1.8 GB	6.2 GB	2.9 GB	3.1 GB
