task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
150	a3/6ab258	4610269.pbsha.ib.sockeye	benchmark (148)	COMPLETED	0	2023-02-07 21:13:15.844	5m 29s	5m 7s	104.9%	1.6 GB	5.1 GB	3 GB	3.1 GB
220	2d/45709a	4610371.pbsha.ib.sockeye	benchmark (218)	FAILED	1	2023-02-07 21:17:45.311	59.9s	25.2s	99.0%	241.4 MB	896.4 MB	1.8 GB	3 GB
224	e3/a55c44	4610377.pbsha.ib.sockeye	benchmark (222)	FAILED	1	2023-02-07 21:17:55.340	49.9s	28.8s	120.3%	6.6 MB	233.2 MB	1.7 GB	2.7 GB
107	90/536acb	4610233.pbsha.ib.sockeye	benchmark (105)	COMPLETED	0	2023-02-07 21:12:11.308	6m 39s	6m 20s	103.4%	1.9 GB	6.3 GB	3.7 GB	3.1 GB
152	00/05cabc	4610273.pbsha.ib.sockeye	benchmark (150)	COMPLETED	0	2023-02-07 21:13:20.481	5m 30s	5m 8s	105.7%	1.5 GB	5.1 GB	3 GB	3.1 GB
189	87/1def9e	4610329.pbsha.ib.sockeye	benchmark (187)	FAILED	1	2023-02-07 21:16:00.279	2m 50s	2m 12s	96.2%	926.7 MB	3 GB	2 GB	3 GB
227	84/5b267f	4610370.pbsha.ib.sockeye	benchmark (225)	FAILED	1	2023-02-07 21:17:35.423	1m 15s	39.4s	96.0%	6.7 MB	233.2 MB	1.8 GB	2.9 GB
109	ab/43fb5f	4610231.pbsha.ib.sockeye	benchmark (107)	COMPLETED	0	2023-02-07 21:12:11.146	6m 44s	6m 28s	106.1%	1.6 GB	5.2 GB	3.7 GB	3.1 GB
132	c3/8e60e9	4610258.pbsha.ib.sockeye	benchmark (130)	FAILED	1	2023-02-07 21:13:00.324	5m 55s	5m 35s	108.8%	2 GB	6.8 GB	2.9 GB	3.1 GB
235	f1/69d7dd	4610385.pbsha.ib.sockeye	benchmark (233)	FAILED	1	2023-02-07 21:18:11.160	44s	27.4s	108.6%	6.6 MB	233.2 MB	1.8 GB	2.9 GB
201	a9/e350d9	4610347.pbsha.ib.sockeye	benchmark (199)	FAILED	1	2023-02-07 21:16:52.305	2m 8s	1m 47s	105.7%	938.9 MB	2.9 GB	2 GB	3 GB
209	23/830ec0	4610352.pbsha.ib.sockeye	benchmark (207)	FAILED	1	2023-02-07 21:16:55.439	2m 5s	1m 38s	95.8%	938.7 MB	2.9 GB	2 GB	3 GB
19	85/8f079a	4610140.pbsha.ib.sockeye	benchmark (17)	FAILED	1	2023-02-07 21:11:11.897	7m 59s	7m 31s	107.1%	2 GB	6.8 GB	2.9 GB	3.1 GB
102	27/709ad1	4610228.pbsha.ib.sockeye	benchmark (100)	COMPLETED	0	2023-02-07 21:12:05.690	7m 5s	6m 40s	105.3%	2 GB	6.8 GB	3.7 GB	3.1 GB
149	3b/abaea9	4610280.pbsha.ib.sockeye	benchmark (147)	COMPLETED	0	2023-02-07 21:13:40.290	5m 35s	5m 8s	101.9%	2 GB	6.8 GB	3 GB	3.1 GB
244	58/70301f	4610392.pbsha.ib.sockeye	benchmark (242)	FAILED	1	2023-02-07 21:18:20.499	55.2s	33.9s	96.0%	6.7 MB	233.2 MB	1.8 GB	3.1 GB
26	67/ace430	4610138.pbsha.ib.sockeye	benchmark (24)	FAILED	1	2023-02-07 21:11:11.709	8m 23s	7m 47s	97.2%	2 GB	6.7 GB	2.9 GB	3.1 GB
84	63/b50740	4610207.pbsha.ib.sockeye	benchmark (82)	COMPLETED	0	2023-02-07 21:11:20.867	8m 14s	7m 50s	103.6%	1.9 GB	6.3 GB	3.7 GB	3.1 GB
162	1e/9325d9	4610294.pbsha.ib.sockeye	benchmark (160)	COMPLETED	0	2023-02-07 21:14:11.151	5m 24s	5m 5s	110.1%	2 GB	6.7 GB	3 GB	3.1 GB
231	15/1577f0	4610390.pbsha.ib.sockeye	benchmark (229)	FAILED	1	2023-02-07 21:18:20.335	1m 15s	46.7s	101.6%	6.7 MB	233.2 MB	3 GB	2.8 GB
5	29/5321b6	4610127.pbsha.ib.sockeye	benchmark (3)	COMPLETED	0	2023-02-07 21:11:10.728	8m 34s	8m 4s	98.0%	1.8 GB	5.1 GB	3.7 GB	3.1 GB
173	1f/e9055a	4610316.pbsha.ib.sockeye	benchmark (171)	FAILED	1	2023-02-07 21:15:30.246	4m 15s	3m 52s	104.8%	2 GB	6.7 GB	2.7 GB	3.1 GB
193	c3/27bd51	4610334.pbsha.ib.sockeye	benchmark (191)	FAILED	1	2023-02-07 21:16:20.247	3m 25s	2m 44s	97.1%	1 GB	3.5 GB	2 GB	3 GB
219	b8/e81c8e	4610372.pbsha.ib.sockeye	benchmark (217)	FAILED	1	2023-02-07 21:17:45.386	2m	1m 28s	105.1%	1.1 GB	3.5 GB	2 GB	3 GB
253	eb/046708	4610406.pbsha.ib.sockeye	benchmark (251)	FAILED	1	2023-02-07 21:18:45.631	59.6s	32.2s	102.3%	229.4 MB	688.9 MB	1.8 GB	3 GB
250	33/a589b4	4610409.pbsha.ib.sockeye	benchmark (248)	FAILED	1	2023-02-07 21:18:50.267	55s	35.2s	102.8%	6.6 MB	233.2 MB	1.8 GB	3 GB
29	2f/0de011	4610147.pbsha.ib.sockeye	benchmark (27)	FAILED	1	2023-02-07 21:11:15.146	8m 35s	8m 12s	99.3%	2 GB	6.8 GB	2.8 GB	3.1 GB
261	61/101138	4610411.pbsha.ib.sockeye	benchmark (259)	FAILED	1	2023-02-07 21:18:50.416	59.8s	35s	102.9%	6.6 MB	233.2 MB	1.8 GB	2.9 GB
265	94/23d017	4610416.pbsha.ib.sockeye	benchmark (263)	FAILED	1	2023-02-07 21:19:00.285	49.9s	33.8s	106.2%	6.6 MB	233.2 MB	1.8 GB	2.9 GB
